Variable: ,Annual Expected Damage from River Floods
Variable id: ,ec2
Country: ,PAK

,year,CAT current policies warming level,CAT current policies median,CAT current policies 97.5th percentile,CAT current policies 2.5th percentile,NGFS current policies warming level,NGFS current policies median,NGFS current policies 97.5th percentile,NGFS current policies 2.5th percentile,NGFS net-zero 2050 warming level,NGFS net-zero 2050 median,NGFS net-zero 2050 97.5th percentile,NGFS net-zero 2050 2.5th percentile,NGFS delayed 2째C warming level,NGFS delayed 2째C median,NGFS delayed 2째C 97.5th percentile,NGFS delayed 2째C 2.5th percentile,RCP26 warming level,RCP26 median,RCP26 97.5th percentile,RCP26 2.5th percentile,RCP45 warming level,RCP45 median,RCP45 97.5th percentile,RCP45 2.5th percentile,RCP60 warming level,RCP60 median,RCP60 97.5th percentile,RCP60 2.5th percentile,RCP85 warming level,RCP85 median,RCP85 97.5th percentile,RCP85 2.5th percentile
0,2015,1.0,-3.807913041181327,34.47330175278926,-35.54492527483942,1.0,-3.807913041181327,34.47330175278926,-35.54492527483942,1.0,-3.807913041181327,34.47330175278926,-35.54492527483942,1.0,-3.807913041181327,34.47330175278926,-35.54492527483942,1.0,-3.807913041181327,51.34523350316058,-35.54492527483942,1.0,-3.807913041181327,34.47330175278926,-35.54492527483942,1.0,-3.807913041181327,34.47330175278926,-35.54492527483942,1.0,-3.807913041181327,51.34523350316058,-35.54492527483942
1,2020,1.1,0.16334132993802264,66.01837809156757,-35.64402788368259,1.1,0.16334132993802264,81.30380853529154,-36.698193121889666,1.1,0.16334132993802264,81.30380853529154,-36.698193121889666,1.1,0.16334132993802264,81.30380853529154,-36.698193121889666,1.1,0.16334132993802264,66.01837809156757,-35.64402788368259,1.1,0.16334132993802264,66.01837809156757,-35.64402788368259,1.1,0.16334132993802264,66.01837809156757,-35.64402788368259,1.1,0.16334132993802264,81.30380853529154,-36.698193121889666
2,2025,1.3,12.517536296974386,94.75548724455469,-39.58611009455756,1.3,12.517536296974386,111.62922891402305,-39.05196410702023,1.3,12.517536296974386,111.62922891402305,-39.05196410702023,1.3,12.517536296974386,111.62922891402305,-39.05196410702023,1.2,7.439832394438369,94.75548724455469,-39.58611009455756,1.2,7.439832394438369,94.75548724455469,-39.58611009455756,1.2,7.439832394438369,81.30380853529154,-36.698193121889666,1.3,12.517536296974386,111.62922891402305,-39.05196410702023
3,2030,1.4,18.20752605482738,128.8241863808264,-38.196602322147946,1.4,18.20752605482738,146.85264966928273,-36.698193121889666,1.4,18.20752605482738,158.52258744822356,-41.17739261861286,1.4,18.20752605482738,146.85264966928273,-36.698193121889666,1.3,12.517536296974386,111.62922891402305,-39.05196410702023,1.3,12.517536296974386,111.62922891402305,-39.05196410702023,1.3,12.517536296974386,111.62922891402305,-39.05196410702023,1.4,18.20752605482738,146.85264966928273,-36.698193121889666
4,2035,1.5,22.06376407821956,164.7348944277658,-51.304681321001645,1.5,22.06376407821956,164.7348944277658,-51.304681321001645,1.5,22.06376407821956,164.7348944277658,-51.304681321001645,1.6,29.342065061816953,176.13488220650552,-56.24428922419296,1.4,18.20752605482738,146.85264966928273,-36.698193121889666,1.4,18.20752605482738,146.85264966928273,-36.698193121889666,1.4,18.20752605482738,128.8241863808264,-38.196602322147946,1.6,29.342065061816953,176.13488220650552,-56.24428922419296
5,2040,1.6,29.342065061816953,186.93346571079982,-61.78530140182972,1.7,36.941581842749315,186.93346571079982,-61.78530140182972,1.5,22.06376407821956,176.13488220650552,-56.24428922419296,1.7,36.941581842749315,198.724010740493,-66.33435205406761,1.5,22.06376407821956,158.52258744822356,-41.17739261861286,1.6,29.342065061816953,164.7348944277658,-51.304681321001645,1.5,22.06376407821956,158.52258744822356,-41.17739261861286,1.8,45.374604445334676,206.27419529676135,-75.12376317973026
6,2045,1.8,45.374604445334676,206.27419529676135,-75.12376317973026,1.8,45.374604445334676,206.27419529676135,-75.12376317973026,1.6,29.342065061816953,186.93346571079982,-61.78530140182972,1.7,36.941581842749315,206.27419529676135,-75.12376317973026,1.5,22.06376407821956,164.7348944277658,-51.304681321001645,1.7,36.941581842749315,186.93346571079982,-61.78530140182972,1.6,29.342065061816953,176.13488220650552,-56.24428922419296,2.0,44.065967832075835,242.125965994668,-88.29077952761672
7,2050,1.9,47.449101538404534,228.91500469788227,-85.16214514247146,1.9,47.449101538404534,242.125965994668,-88.29077952761672,1.6,29.342065061816953,186.93346571079982,-61.78530140182972,1.8,45.374604445334676,218.97574869719486,-78.76180546122778,1.5,22.06376407821956,176.13488220650552,-56.24428922419296,1.8,45.374604445334676,206.27419529676135,-75.12376317973026,1.7,36.941581842749315,186.93346571079982,-61.78530140182972,2.2,47.07365774336788,250.39628534100584,-100
8,2055,2.0,44.065967832075835,248.49946140513455,-100,2.0,44.065967832075835,248.49946140513455,-100,1.6,29.342065061816953,198.724010740493,-66.33435205406761,1.8,45.374604445334676,218.97574869719486,-78.76180546122778,1.6,29.342065061816953,176.13488220650552,-56.24428922419296,1.9,47.449101538404534,228.91500469788227,-85.16214514247146,1.8,45.374604445334676,206.27419529676135,-75.12376317973026,2.5,50.329618672150026,338.84158461605654,-100
9,2060,2.1,45.87051492494459,250.39628534100584,-100,2.2,47.07365774336788,250.39628534100584,-100,1.5,22.06376407821956,198.724010740493,-66.33435205406761,1.8,45.374604445334676,228.91500469788227,-85.16214514247146,1.6,29.342065061816953,186.93346571079982,-61.78530140182972,2.0,44.065967832075835,248.62079684969004,-98.13554435452572,1.9,47.449101538404534,228.91500469788227,-85.16214514247146,2.7,54.28895459788125,443.57716048375914,-88.29077952761672
10,2065,2.2,47.07365774336788,300.59522552284574,-100,2.3,49.26876208719006,300.59522552284574,-100,1.5,22.06376407821956,198.724010740493,-66.33435205406761,1.7,36.941581842749315,228.91500469788227,-85.16214514247146,1.6,29.342065061816953,186.93346571079982,-61.78530140182972,2.1,45.87051492494459,248.49946140513455,-100,2.1,45.87051492494459,248.49946140513455,-100,3.0,34.9116345063772,461.61657480756367,-100
11,2070,2.3,49.26876208719006,338.84158461605654,-100,2.4,47.223505957587484,366.38714849423565,-94.7463624834974,1.5,22.06376407821956,186.93346571079982,-61.78530140182972,1.7,36.941581842749315,228.91500469788227,-85.16214514247146,1.6,29.342065061816953,186.93346571079982,-61.78530140182972,2.2,47.07365774336788,251.53496796077692,-100,2.2,47.07365774336788,250.39628534100584,-100,3.2,41.30204143436984,486.8619389561848,-100
12,2075,2.4,47.223505957587484,396.6065909283652,-80.86651573129889,2.5,50.329618672150026,423.9483197827645,-78.76180546122778,1.5,22.06376407821956,198.724010740493,-66.33435205406761,1.7,36.941581842749315,228.91500469788227,-85.16214514247146,1.6,29.342065061816953,186.93346571079982,-61.78530140182972,2.2,47.07365774336788,277.11625626051153,-100,2.4,47.223505957587484,338.84158461605654,-100,3.5,101.78661161048113,499.8709014257522,-100
13,2080,2.5,50.329618672150026,443.57716048375914,-78.76180546122778,2.6,50.67343398696644,451.4538314293939,-85.16214514247146,1.5,22.06376407821956,198.724010740493,-66.33435205406761,1.7,36.941581842749315,218.97574869719486,-78.76180546122778,1.6,29.342065061816953,186.93346571079982,-61.78530140182972,2.3,49.26876208719006,300.59522552284574,-100,2.6,50.67343398696644,396.6065909283652,-85.16214514247146,3.7,140.15690152726802,499.8709014257522,-100
14,2085,2.6,50.67343398696644,451.1453956600826,-91.68609372730566,2.8,51.18834476703231,454.3156875595032,-100,1.5,22.06376407821956,198.724010740493,-66.33435205406761,1.6,29.342065061816953,218.97574869719486,-78.76180546122778,1.6,29.342065061816953,198.724010740493,-66.33435205406761,2.3,49.26876208719006,338.84158461605654,-100,2.7,54.28895459788125,451.4538314293939,-88.29077952761672,4.0,138.56765534697317,499.8709014257522,-100
15,2090,2.7,54.28895459788125,454.3156875595032,-100,2.9,41.471568636605866,469.74146086287396,-100,1.5,22.06376407821956,198.724010740493,-66.33435205406761,1.6,29.342065061816953,218.97574869719486,-78.76180546122778,1.6,29.342065061816953,198.724010740493,-66.33435205406761,2.4,47.223505957587484,366.38714849423565,-94.7463624834974,2.9,41.471568636605866,450.77667220929334,-100,4.3,120.25251243684131,499.8709014257522,-100
16,2095,2.8,51.18834476703231,461.61657480756367,-100,3.1,24.177511200735136,489.7323397737012,-100,1.5,22.06376407821956,198.724010740493,-66.33435205406761,1.6,29.342065061816953,218.97574869719486,-78.76180546122778,1.6,29.342065061816953,198.724010740493,-66.33435205406761,2.4,47.223505957587484,396.6065909283652,-80.86651573129889,3.0,34.9116345063772,461.61657480756367,-100,4.5,118.19103691893947,499.8709014257522,-100
17,2100,2.9,41.471568636605866,478.7459806614038,-100,3.2,41.30204143436984,499.8709014257522,-100,1.5,22.06376407821956,206.27419529676135,-75.12376317973026,1.6,29.342065061816953,218.97574869719486,-78.76180546122778,1.6,29.342065061816953,198.724010740493,-66.33435205406761,2.4,47.223505957587484,423.9483197827645,-75.12376317973026,3.1,24.177511200735136,478.7459806614038,-100,4.8,103.64781150430353,499.8709014257522,-100
