Year,Projection,Mean,10-90th Percentile Range (low),10-90th Percentile Range (high)
1995,Historical,20.33,19.53,20.99
1996,Historical,20.42,19.65,21.06
1997,Historical,20.51,19.77,21.13
1998,Historical,20.6,19.88,21.2
1999,Historical,20.68,19.98,21.26
2000,Historical,20.75,20.06,21.32
2001,Historical,20.8,20.12,21.38
2002,Historical,20.84,20.15,21.42
2003,Historical,20.87,20.16,21.47
2004,Historical,20.89,20.15,21.51
2005,Historical,20.9,20.14,21.54
2006,Historical,20.91,20.13,21.57
2007,Historical,20.92,20.12,21.6
2008,Historical,20.93,20.14,21.62
2009,Historical,20.96,20.17,21.64
2010,Historical,20.99,20.22,21.66
2011,Historical,21.03,20.29,21.68
2012,Historical,21.07,20.36,21.7
2013,Historical,21.11,20.45,21.72
2014,Historical,21.16,20.53,21.73
2014,SSP1-1.9,21.16,20.53,21.73
2015,SSP1-1.9,21.13,20.05,21.92
2016,SSP1-1.9,21.13,20.06,21.95
2017,SSP1-1.9,21.15,20.08,21.98
2018,SSP1-1.9,21.17,20.11,22.01
2019,SSP1-1.9,21.2,20.16,22.05
2020,SSP1-1.9,21.26,20.23,22.11
2021,SSP1-1.9,21.34,20.32,22.17
2022,SSP1-1.9,21.43,20.44,22.24
2023,SSP1-1.9,21.53,20.56,22.31
2024,SSP1-1.9,21.63,20.67,22.37
2025,SSP1-1.9,21.7,20.76,22.43
2026,SSP1-1.9,21.74,20.79,22.47
2027,SSP1-1.9,21.74,20.78,22.48
2028,SSP1-1.9,21.73,20.74,22.49
2029,SSP1-1.9,21.7,20.69,22.5
2030,SSP1-1.9,21.68,20.64,22.5
2031,SSP1-1.9,21.68,20.61,22.53
2032,SSP1-1.9,21.7,20.62,22.56
2033,SSP1-1.9,21.75,20.65,22.62
2034,SSP1-1.9,21.81,20.69,22.67
2035,SSP1-1.9,21.87,20.74,22.73
2036,SSP1-1.9,21.92,20.77,22.78
2037,SSP1-1.9,21.95,20.79,22.82
2038,SSP1-1.9,21.97,20.79,22.84
2039,SSP1-1.9,21.96,20.78,22.86
2040,SSP1-1.9,21.96,20.76,22.86
2041,SSP1-1.9,21.95,20.76,22.85
2042,SSP1-1.9,21.94,20.77,22.84
2043,SSP1-1.9,21.94,20.79,22.82
2044,SSP1-1.9,21.94,20.83,22.79
2045,SSP1-1.9,21.95,20.86,22.78
2046,SSP1-1.9,21.96,20.89,22.76
2047,SSP1-1.9,21.98,20.91,22.76
2048,SSP1-1.9,21.99,20.92,22.77
2049,SSP1-1.9,22,20.91,22.78
2050,SSP1-1.9,22.01,20.89,22.8
2051,SSP1-1.9,22.02,20.86,22.82
2052,SSP1-1.9,22.02,20.84,22.83
2053,SSP1-1.9,22.02,20.81,22.83
2054,SSP1-1.9,22.02,20.8,22.82
2055,SSP1-1.9,22.01,20.78,22.81
2056,SSP1-1.9,22,20.77,22.8
2057,SSP1-1.9,22,20.77,22.8
2058,SSP1-1.9,21.99,20.76,22.81
2059,SSP1-1.9,21.99,20.76,22.83
2060,SSP1-1.9,21.98,20.76,22.85
2061,SSP1-1.9,21.98,20.75,22.89
2062,SSP1-1.9,21.98,20.73,22.92
2063,SSP1-1.9,21.97,20.69,22.96
2064,SSP1-1.9,21.95,20.63,22.99
2065,SSP1-1.9,21.94,20.56,23.01
2066,SSP1-1.9,21.92,20.49,23.02
2067,SSP1-1.9,21.91,20.43,23
2068,SSP1-1.9,21.9,20.38,22.97
2069,SSP1-1.9,21.9,20.35,22.9
2070,SSP1-1.9,21.9,20.34,22.82
2071,SSP1-1.9,21.9,20.35,22.74
2072,SSP1-1.9,21.9,20.39,22.67
2073,SSP1-1.9,21.89,20.43,22.62
2074,SSP1-1.9,21.88,20.5,22.62
2075,SSP1-1.9,21.85,20.57,22.65
2076,SSP1-1.9,21.82,20.64,22.71
2077,SSP1-1.9,21.79,20.71,22.77
2078,SSP1-1.9,21.76,20.76,22.83
2079,SSP1-1.9,21.75,20.78,22.87
2080,SSP1-1.9,21.75,20.78,22.88
2081,SSP1-1.9,21.77,20.76,22.86
2082,SSP1-1.9,21.78,20.72,22.82
2083,SSP1-1.9,21.79,20.68,22.78
2084,SSP1-1.9,21.79,20.65,22.74
2085,SSP1-1.9,21.78,20.63,22.71
2086,SSP1-1.9,21.76,20.62,22.68
2087,SSP1-1.9,21.74,20.62,22.65
2088,SSP1-1.9,21.72,20.62,22.63
2089,SSP1-1.9,21.71,20.63,22.61
2090,SSP1-1.9,21.72,20.64,22.59
2091,SSP1-1.9,21.74,20.65,22.57
2092,SSP1-1.9,21.78,20.66,22.54
2093,SSP1-1.9,21.81,20.66,22.52
2094,SSP1-1.9,21.83,20.64,22.5
2095,SSP1-1.9,21.84,20.61,22.49
2096,SSP1-1.9,21.83,20.56,22.48
2097,SSP1-1.9,21.8,20.5,22.48
2098,SSP1-1.9,21.76,20.42,22.48
2099,SSP1-1.9,21.72,20.35,22.48
2100,SSP1-1.9,21.66,20.26,22.49
2014,SSP1-2.6,21.16,20.53,21.73
2015,SSP1-2.6,21.19,20.42,21.74
2016,SSP1-2.6,21.19,20.42,21.83
2017,SSP1-2.6,21.2,20.43,21.92
2018,SSP1-2.6,21.22,20.44,22.01
2019,SSP1-2.6,21.24,20.46,22.08
2020,SSP1-2.6,21.28,20.48,22.15
2021,SSP1-2.6,21.33,20.52,22.19
2022,SSP1-2.6,21.39,20.56,22.23
2023,SSP1-2.6,21.46,20.61,22.25
2024,SSP1-2.6,21.52,20.65,22.27
2025,SSP1-2.6,21.58,20.68,22.29
2026,SSP1-2.6,21.61,20.69,22.32
2027,SSP1-2.6,21.63,20.69,22.36
2028,SSP1-2.6,21.64,20.69,22.4
2029,SSP1-2.6,21.64,20.69,22.45
2030,SSP1-2.6,21.65,20.7,22.49
2031,SSP1-2.6,21.67,20.74,22.53
2032,SSP1-2.6,21.71,20.81,22.57
2033,SSP1-2.6,21.76,20.89,22.6
2034,SSP1-2.6,21.81,20.97,22.63
2035,SSP1-2.6,21.86,21.04,22.65
2036,SSP1-2.6,21.9,21.07,22.68
2037,SSP1-2.6,21.93,21.06,22.71
2038,SSP1-2.6,21.94,21.02,22.74
2039,SSP1-2.6,21.94,20.96,22.77
2040,SSP1-2.6,21.95,20.9,22.81
2041,SSP1-2.6,21.96,20.88,22.86
2042,SSP1-2.6,21.99,20.9,22.9
2043,SSP1-2.6,22.03,20.98,22.96
2044,SSP1-2.6,22.08,21.09,23.01
2045,SSP1-2.6,22.14,21.2,23.06
2046,SSP1-2.6,22.18,21.31,23.1
2047,SSP1-2.6,22.21,21.37,23.13
2048,SSP1-2.6,22.22,21.38,23.15
2049,SSP1-2.6,22.21,21.36,23.16
2050,SSP1-2.6,22.2,21.32,23.15
2051,SSP1-2.6,22.19,21.27,23.14
2052,SSP1-2.6,22.19,21.24,23.13
2053,SSP1-2.6,22.2,21.23,23.12
2054,SSP1-2.6,22.23,21.25,23.11
2055,SSP1-2.6,22.26,21.29,23.1
2056,SSP1-2.6,22.3,21.32,23.1
2057,SSP1-2.6,22.32,21.35,23.11
2058,SSP1-2.6,22.34,21.36,23.12
2059,SSP1-2.6,22.34,21.35,23.15
2060,SSP1-2.6,22.33,21.32,23.18
2061,SSP1-2.6,22.31,21.29,23.22
2062,SSP1-2.6,22.3,21.27,23.24
2063,SSP1-2.6,22.29,21.26,23.26
2064,SSP1-2.6,22.29,21.28,23.27
2065,SSP1-2.6,22.3,21.31,23.27
2066,SSP1-2.6,22.31,21.34,23.27
2067,SSP1-2.6,22.32,21.36,23.27
2068,SSP1-2.6,22.32,21.37,23.26
2069,SSP1-2.6,22.31,21.35,23.27
2070,SSP1-2.6,22.29,21.32,23.28
2071,SSP1-2.6,22.27,21.29,23.29
2072,SSP1-2.6,22.26,21.26,23.3
2073,SSP1-2.6,22.25,21.24,23.31
2074,SSP1-2.6,22.26,21.25,23.31
2075,SSP1-2.6,22.28,21.29,23.3
2076,SSP1-2.6,22.31,21.34,23.29
2077,SSP1-2.6,22.35,21.39,23.28
2078,SSP1-2.6,22.38,21.43,23.27
2079,SSP1-2.6,22.4,21.45,23.27
2080,SSP1-2.6,22.4,21.45,23.27
2081,SSP1-2.6,22.4,21.42,23.29
2082,SSP1-2.6,22.39,21.38,23.3
2083,SSP1-2.6,22.38,21.35,23.31
2084,SSP1-2.6,22.37,21.32,23.33
2085,SSP1-2.6,22.36,21.31,23.34
2086,SSP1-2.6,22.36,21.31,23.34
2087,SSP1-2.6,22.35,21.32,23.34
2088,SSP1-2.6,22.35,21.32,23.33
2089,SSP1-2.6,22.33,21.32,23.32
2090,SSP1-2.6,22.32,21.31,23.3
2091,SSP1-2.6,22.3,21.28,23.28
2092,SSP1-2.6,22.27,21.24,23.26
2093,SSP1-2.6,22.25,21.2,23.24
2094,SSP1-2.6,22.24,21.16,23.22
2095,SSP1-2.6,22.23,21.14,23.2
2096,SSP1-2.6,22.23,21.13,23.19
2097,SSP1-2.6,22.25,21.13,23.18
2098,SSP1-2.6,22.27,21.13,23.17
2099,SSP1-2.6,22.29,21.15,23.16
2100,SSP1-2.6,22.32,21.16,23.15
2014,SSP2-4.5,21.16,20.53,21.73
2015,SSP2-4.5,21.21,20.46,21.94
2016,SSP2-4.5,21.22,20.42,21.94
2017,SSP2-4.5,21.23,20.39,21.95
2018,SSP2-4.5,21.25,20.37,21.96
2019,SSP2-4.5,21.27,20.37,21.98
2020,SSP2-4.5,21.31,20.4,22.02
2021,SSP2-4.5,21.35,20.45,22.07
2022,SSP2-4.5,21.41,20.53,22.14
2023,SSP2-4.5,21.47,20.62,22.21
2024,SSP2-4.5,21.52,20.71,22.28
2025,SSP2-4.5,21.57,20.78,22.34
2026,SSP2-4.5,21.6,20.82,22.38
2027,SSP2-4.5,21.62,20.83,22.39
2028,SSP2-4.5,21.63,20.81,22.4
2029,SSP2-4.5,21.64,20.79,22.4
2030,SSP2-4.5,21.65,20.78,22.41
2031,SSP2-4.5,21.67,20.78,22.43
2032,SSP2-4.5,21.7,20.8,22.47
2033,SSP2-4.5,21.74,20.85,22.53
2034,SSP2-4.5,21.79,20.91,22.6
2035,SSP2-4.5,21.85,20.97,22.66
2036,SSP2-4.5,21.89,21.03,22.72
2037,SSP2-4.5,21.93,21.09,22.76
2038,SSP2-4.5,21.96,21.13,22.8
2039,SSP2-4.5,21.98,21.16,22.82
2040,SSP2-4.5,22.01,21.18,22.84
2041,SSP2-4.5,22.04,21.19,22.87
2042,SSP2-4.5,22.07,21.19,22.91
2043,SSP2-4.5,22.11,21.18,22.96
2044,SSP2-4.5,22.16,21.17,23.02
2045,SSP2-4.5,22.21,21.18,23.08
2046,SSP2-4.5,22.26,21.2,23.15
2047,SSP2-4.5,22.31,21.25,23.22
2048,SSP2-4.5,22.36,21.33,23.29
2049,SSP2-4.5,22.41,21.43,23.36
2050,SSP2-4.5,22.45,21.54,23.42
2051,SSP2-4.5,22.49,21.63,23.46
2052,SSP2-4.5,22.53,21.7,23.5
2053,SSP2-4.5,22.57,21.74,23.52
2054,SSP2-4.5,22.6,21.75,23.53
2055,SSP2-4.5,22.63,21.74,23.54
2056,SSP2-4.5,22.66,21.71,23.55
2057,SSP2-4.5,22.69,21.7,23.56
2058,SSP2-4.5,22.72,21.69,23.6
2059,SSP2-4.5,22.75,21.7,23.65
2060,SSP2-4.5,22.78,21.73,23.71
2061,SSP2-4.5,22.81,21.76,23.77
2062,SSP2-4.5,22.84,21.82,23.83
2063,SSP2-4.5,22.86,21.88,23.88
2064,SSP2-4.5,22.89,21.94,23.92
2065,SSP2-4.5,22.93,22.01,23.94
2066,SSP2-4.5,22.96,22.06,23.96
2067,SSP2-4.5,22.99,22.11,23.98
2068,SSP2-4.5,23.02,22.13,24
2069,SSP2-4.5,23.06,22.13,24.03
2070,SSP2-4.5,23.09,22.11,24.07
2071,SSP2-4.5,23.12,22.08,24.11
2072,SSP2-4.5,23.14,22.04,24.14
2073,SSP2-4.5,23.16,22.01,24.18
2074,SSP2-4.5,23.16,22,24.2
2075,SSP2-4.5,23.16,22,24.21
2076,SSP2-4.5,23.16,22.02,24.21
2077,SSP2-4.5,23.15,22.05,24.22
2078,SSP2-4.5,23.16,22.08,24.24
2079,SSP2-4.5,23.17,22.13,24.27
2080,SSP2-4.5,23.2,22.17,24.31
2081,SSP2-4.5,23.24,22.22,24.36
2082,SSP2-4.5,23.29,22.26,24.42
2083,SSP2-4.5,23.33,22.3,24.48
2084,SSP2-4.5,23.37,22.33,24.53
2085,SSP2-4.5,23.4,22.35,24.57
2086,SSP2-4.5,23.41,22.36,24.6
2087,SSP2-4.5,23.43,22.37,24.63
2088,SSP2-4.5,23.44,22.38,24.65
2089,SSP2-4.5,23.45,22.39,24.66
2090,SSP2-4.5,23.46,22.42,24.67
2091,SSP2-4.5,23.48,22.44,24.67
2092,SSP2-4.5,23.49,22.47,24.68
2093,SSP2-4.5,23.51,22.49,24.69
2094,SSP2-4.5,23.53,22.5,24.7
2095,SSP2-4.5,23.55,22.48,24.7
2096,SSP2-4.5,23.56,22.45,24.72
2097,SSP2-4.5,23.57,22.4,24.73
2098,SSP2-4.5,23.58,22.33,24.75
2099,SSP2-4.5,23.59,22.26,24.76
2100,SSP2-4.5,23.6,22.18,24.78
2014,SSP3-7.0,21.16,20.53,21.73
2015,SSP3-7.0,21.18,20.46,21.82
2016,SSP3-7.0,21.18,20.44,21.83
2017,SSP3-7.0,21.18,20.41,21.85
2018,SSP3-7.0,21.18,20.4,21.87
2019,SSP3-7.0,21.19,20.39,21.89
2020,SSP3-7.0,21.21,20.4,21.93
2021,SSP3-7.0,21.24,20.42,21.97
2022,SSP3-7.0,21.28,20.45,22.03
2023,SSP3-7.0,21.33,20.49,22.08
2024,SSP3-7.0,21.37,20.54,22.14
2025,SSP3-7.0,21.42,20.58,22.19
2026,SSP3-7.0,21.46,20.62,22.24
2027,SSP3-7.0,21.49,20.66,22.27
2028,SSP3-7.0,21.52,20.69,22.3
2029,SSP3-7.0,21.55,20.72,22.32
2030,SSP3-7.0,21.57,20.75,22.34
2031,SSP3-7.0,21.6,20.8,22.37
2032,SSP3-7.0,21.64,20.85,22.39
2033,SSP3-7.0,21.68,20.91,22.43
2034,SSP3-7.0,21.73,20.97,22.47
2035,SSP3-7.0,21.78,21.02,22.53
2036,SSP3-7.0,21.84,21.07,22.6
2037,SSP3-7.0,21.89,21.11,22.68
2038,SSP3-7.0,21.95,21.13,22.78
2039,SSP3-7.0,22,21.15,22.87
2040,SSP3-7.0,22.06,21.17,22.96
2041,SSP3-7.0,22.1,21.2,23.03
2042,SSP3-7.0,22.15,21.24,23.08
2043,SSP3-7.0,22.19,21.29,23.1
2044,SSP3-7.0,22.23,21.35,23.11
2045,SSP3-7.0,22.27,21.41,23.12
2046,SSP3-7.0,22.31,21.47,23.13
2047,SSP3-7.0,22.35,21.52,23.16
2048,SSP3-7.0,22.39,21.56,23.22
2049,SSP3-7.0,22.43,21.6,23.3
2050,SSP3-7.0,22.48,21.64,23.39
2051,SSP3-7.0,22.53,21.69,23.47
2052,SSP3-7.0,22.57,21.74,23.55
2053,SSP3-7.0,22.62,21.81,23.6
2054,SSP3-7.0,22.66,21.89,23.64
2055,SSP3-7.0,22.7,21.98,23.67
2056,SSP3-7.0,22.74,22.05,23.7
2057,SSP3-7.0,22.79,22.11,23.73
2058,SSP3-7.0,22.84,22.14,23.77
2059,SSP3-7.0,22.89,22.15,23.82
2060,SSP3-7.0,22.94,22.15,23.88
2061,SSP3-7.0,23,22.15,23.96
2062,SSP3-7.0,23.05,22.15,24.03
2063,SSP3-7.0,23.11,22.17,24.11
2064,SSP3-7.0,23.17,22.22,24.19
2065,SSP3-7.0,23.22,22.29,24.27
2066,SSP3-7.0,23.28,22.37,24.34
2067,SSP3-7.0,23.34,22.45,24.42
2068,SSP3-7.0,23.4,22.52,24.49
2069,SSP3-7.0,23.46,22.57,24.56
2070,SSP3-7.0,23.52,22.61,24.63
2071,SSP3-7.0,23.57,22.64,24.7
2072,SSP3-7.0,23.63,22.67,24.77
2073,SSP3-7.0,23.68,22.69,24.83
2074,SSP3-7.0,23.72,22.73,24.89
2075,SSP3-7.0,23.76,22.76,24.95
2076,SSP3-7.0,23.8,22.81,25.01
2077,SSP3-7.0,23.84,22.86,25.08
2078,SSP3-7.0,23.87,22.91,25.14
2079,SSP3-7.0,23.92,22.96,25.21
2080,SSP3-7.0,23.96,23.01,25.28
2081,SSP3-7.0,24.02,23.07,25.35
2082,SSP3-7.0,24.08,23.12,25.42
2083,SSP3-7.0,24.14,23.19,25.48
2084,SSP3-7.0,24.21,23.25,25.53
2085,SSP3-7.0,24.29,23.32,25.57
2086,SSP3-7.0,24.37,23.4,25.6
2087,SSP3-7.0,24.44,23.46,25.64
2088,SSP3-7.0,24.51,23.53,25.68
2089,SSP3-7.0,24.57,23.57,25.75
2090,SSP3-7.0,24.61,23.6,25.83
2091,SSP3-7.0,24.65,23.62,25.94
2092,SSP3-7.0,24.67,23.63,26.06
2093,SSP3-7.0,24.7,23.64,26.19
2094,SSP3-7.0,24.74,23.66,26.32
2095,SSP3-7.0,24.79,23.7,26.44
2096,SSP3-7.0,24.85,23.76,26.55
2097,SSP3-7.0,24.93,23.83,26.66
2098,SSP3-7.0,25.02,23.92,26.76
2099,SSP3-7.0,25.12,24.02,26.85
2100,SSP3-7.0,25.22,24.12,26.94
2014,SSP5-8.5,21.16,20.53,21.73
2015,SSP5-8.5,21.17,20.32,21.88
2016,SSP5-8.5,21.19,20.37,21.89
2017,SSP5-8.5,21.22,20.42,21.91
2018,SSP5-8.5,21.25,20.46,21.94
2019,SSP5-8.5,21.28,20.5,21.97
2020,SSP5-8.5,21.31,20.52,22.01
2021,SSP5-8.5,21.35,20.54,22.06
2022,SSP5-8.5,21.38,20.54,22.11
2023,SSP5-8.5,21.43,20.55,22.17
2024,SSP5-8.5,21.47,20.55,22.24
2025,SSP5-8.5,21.52,20.57,22.3
2026,SSP5-8.5,21.57,20.61,22.35
2027,SSP5-8.5,21.62,20.66,22.4
2028,SSP5-8.5,21.68,20.73,22.45
2029,SSP5-8.5,21.73,20.8,22.5
2030,SSP5-8.5,21.78,20.86,22.54
2031,SSP5-8.5,21.84,20.91,22.6
2032,SSP5-8.5,21.88,20.95,22.66
2033,SSP5-8.5,21.93,20.97,22.72
2034,SSP5-8.5,21.97,20.99,22.79
2035,SSP5-8.5,22.01,21,22.86
2036,SSP5-8.5,22.05,21.02,22.94
2037,SSP5-8.5,22.09,21.05,23.01
2038,SSP5-8.5,22.14,21.1,23.09
2039,SSP5-8.5,22.18,21.15,23.17
2040,SSP5-8.5,22.24,21.22,23.24
2041,SSP5-8.5,22.31,21.29,23.32
2042,SSP5-8.5,22.39,21.38,23.41
2043,SSP5-8.5,22.48,21.48,23.49
2044,SSP5-8.5,22.59,21.58,23.57
2045,SSP5-8.5,22.69,21.68,23.66
2046,SSP5-8.5,22.78,21.77,23.74
2047,SSP5-8.5,22.85,21.84,23.81
2048,SSP5-8.5,22.91,21.9,23.89
2049,SSP5-8.5,22.95,21.94,23.96
2050,SSP5-8.5,22.98,21.97,24.03
2051,SSP5-8.5,23.02,22,24.11
2052,SSP5-8.5,23.08,22.03,24.18
2053,SSP5-8.5,23.15,22.07,24.27
2054,SSP5-8.5,23.23,22.12,24.35
2055,SSP5-8.5,23.32,22.17,24.44
2056,SSP5-8.5,23.42,22.24,24.52
2057,SSP5-8.5,23.51,22.3,24.59
2058,SSP5-8.5,23.58,22.38,24.65
2059,SSP5-8.5,23.64,22.45,24.69
2060,SSP5-8.5,23.69,22.53,24.73
2061,SSP5-8.5,23.74,22.6,24.77
2062,SSP5-8.5,23.78,22.66,24.82
2063,SSP5-8.5,23.83,22.71,24.88
2064,SSP5-8.5,23.88,22.75,24.97
2065,SSP5-8.5,23.94,22.78,25.07
2066,SSP5-8.5,24.01,22.82,25.17
2067,SSP5-8.5,24.08,22.86,25.29
2068,SSP5-8.5,24.15,22.92,25.4
2069,SSP5-8.5,24.23,23,25.5
2070,SSP5-8.5,24.31,23.09,25.6
2071,SSP5-8.5,24.4,23.19,25.7
2072,SSP5-8.5,24.48,23.29,25.8
2073,SSP5-8.5,24.57,23.37,25.9
2074,SSP5-8.5,24.65,23.44,26.01
2075,SSP5-8.5,24.73,23.48,26.13
2076,SSP5-8.5,24.8,23.51,26.25
2077,SSP5-8.5,24.87,23.54,26.36
2078,SSP5-8.5,24.94,23.58,26.46
2079,SSP5-8.5,25.01,23.63,26.55
2080,SSP5-8.5,25.07,23.7,26.61
2081,SSP5-8.5,25.13,23.79,26.67
2082,SSP5-8.5,25.2,23.88,26.73
2083,SSP5-8.5,25.27,23.99,26.81
2084,SSP5-8.5,25.34,24.09,26.91
2085,SSP5-8.5,25.43,24.19,27.04
2086,SSP5-8.5,25.52,24.28,27.2
2087,SSP5-8.5,25.62,24.36,27.37
2088,SSP5-8.5,25.72,24.43,27.55
2089,SSP5-8.5,25.81,24.48,27.72
2090,SSP5-8.5,25.91,24.51,27.87
2091,SSP5-8.5,26,24.53,28
2092,SSP5-8.5,26.08,24.54,28.11
2093,SSP5-8.5,26.17,24.55,28.21
2094,SSP5-8.5,26.26,24.58,28.29
2095,SSP5-8.5,26.35,24.63,28.38
2096,SSP5-8.5,26.45,24.7,28.45
2097,SSP5-8.5,26.55,24.79,28.53
2098,SSP5-8.5,26.65,24.9,28.6
2099,SSP5-8.5,26.76,25.02,28.68
2100,SSP5-8.5,26.86,25.15,28.75
