Variable: ,Wheat Yield
Variable id: ,yield_wheat_co2
Country: ,PAK

,year,CAT current policies warming level,CAT current policies median,CAT current policies 97.5th percentile,CAT current policies 2.5th percentile,NGFS current policies warming level,NGFS current policies median,NGFS current policies 97.5th percentile,NGFS current policies 2.5th percentile,NGFS net-zero 2050 warming level,NGFS net-zero 2050 median,NGFS net-zero 2050 97.5th percentile,NGFS net-zero 2050 2.5th percentile,NGFS delayed 2째C warming level,NGFS delayed 2째C median,NGFS delayed 2째C 97.5th percentile,NGFS delayed 2째C 2.5th percentile,RCP26 warming level,RCP26 median,RCP26 97.5th percentile,RCP26 2.5th percentile,RCP45 warming level,RCP45 median,RCP45 97.5th percentile,RCP45 2.5th percentile,RCP60 warming level,RCP60 median,RCP60 97.5th percentile,RCP60 2.5th percentile,RCP85 warming level,RCP85 median,RCP85 97.5th percentile,RCP85 2.5th percentile
0,2015,1.0,-0.3019479953270567,17.61460054700174,-12.478224607193823,1.0,-0.3019479953270567,17.61460054700174,-12.478224607193823,1.0,-0.3019479953270567,17.61460054700174,-12.478224607193823,1.0,-0.3019479953270567,17.61460054700174,-12.478224607193823,1.0,-0.3019479953270567,17.61460054700174,-14.66375291102993,1.0,-0.3019479953270567,17.61460054700174,-12.478224607193823,1.0,-0.3019479953270567,17.61460054700174,-12.478224607193823,1.0,-0.3019479953270567,17.61460054700174,-14.66375291102993
1,2020,1.1,-0.5586886138375586,17.30582472256947,-17.14632657714561,1.1,-0.5586886138375586,17.30582472256947,-19.537688876114718,1.1,-0.5586886138375586,17.30582472256947,-19.537688876114718,1.1,-0.5586886138375586,17.30582472256947,-19.537688876114718,1.1,-0.5586886138375586,17.61460054700174,-17.14632657714561,1.1,-0.5586886138375586,17.61460054700174,-17.14632657714561,1.1,-0.5586886138375586,17.61460054700174,-17.14632657714561,1.1,-0.5586886138375586,17.61460054700174,-19.537688876114718
2,2025,1.3,-0.6714815570035416,16.88318557768837,-22.433867692562327,1.3,-0.6714815570035416,16.88318557768837,-24.77843691870082,1.3,-0.6714815570035416,16.88318557768837,-24.77843691870082,1.3,-0.6714815570035416,16.88318557768837,-24.77843691870082,1.2,-0.4665624042807623,17.30582472256947,-22.433867692562327,1.2,-0.4665624042807623,17.30582472256947,-22.433867692562327,1.2,-0.4665624042807623,17.61460054700174,-19.537688876114718,1.3,-0.6714815570035416,17.30582472256947,-24.77843691870082
3,2030,1.4,-0.7851893425797464,16.88318557768837,-26.64484803179883,1.4,-0.7851893425797464,16.88318557768837,-29.654151892829287,1.4,-0.7851893425797464,16.88318557768837,-32.88460096648556,1.4,-0.7851893425797464,16.88318557768837,-29.654151892829287,1.3,-0.6714815570035416,17.30582472256947,-24.77843691870082,1.3,-0.6714815570035416,17.30582472256947,-24.77843691870082,1.3,-0.6714815570035416,17.30582472256947,-24.77843691870082,1.4,-0.7851893425797464,16.88318557768837,-29.654151892829287
4,2035,1.5,-1.4037136456344481,16.643514734503977,-36.21563896836408,1.5,-1.4037136456344481,16.643514734503977,-36.21563896836408,1.5,-1.4037136456344481,16.643514734503977,-36.21563896836408,1.6,-1.47062835838004,16.643514734503977,-38.533897671503375,1.4,-0.7851893425797464,16.88318557768837,-29.654151892829287,1.4,-0.7851893425797464,16.88318557768837,-29.654151892829287,1.4,-0.7851893425797464,16.88318557768837,-26.64484803179883,1.6,-1.47062835838004,16.106798529040006,-38.533897671503375
5,2040,1.6,-1.47062835838004,16.106798529040006,-40.72819265283066,1.7,-1.0593849580851435,16.106798529040006,-40.72819265283066,1.5,-1.4037136456344481,16.643514734503977,-38.533897671503375,1.7,-1.0593849580851435,16.106798529040006,-43.4410940499715,1.5,-1.4037136456344481,16.88318557768837,-32.88460096648556,1.6,-1.47062835838004,16.643514734503977,-36.21563896836408,1.5,-1.4037136456344481,16.88318557768837,-32.88460096648556,1.8,-1.7910343057226992,15.661293690722607,-46.66815464109495
6,2045,1.8,-1.7910343057226992,15.661293690722607,-46.66815464109495,1.8,-1.7910343057226992,15.661293690722607,-46.66815464109495,1.6,-1.47062835838004,16.643514734503977,-40.72819265283066,1.7,-1.0593849580851435,16.106798529040006,-46.66815464109495,1.5,-1.4037136456344481,16.88318557768837,-36.21563896836408,1.7,-1.0593849580851435,16.106798529040006,-40.72819265283066,1.6,-1.47062835838004,16.643514734503977,-38.533897671503375,2.0,-3.797212354471693,14.710972334926714,-57.56187518683017
7,2050,1.9,-2.7438288659860706,15.661293690722607,-54.51867962140897,1.9,-2.7438288659860706,14.710972334926714,-57.56187518683017,1.6,-1.47062835838004,16.643514734503977,-40.72819265283066,1.8,-1.7910343057226992,16.106798529040006,-50.7228874894213,1.5,-1.4037136456344481,16.88318557768837,-38.533897671503375,1.8,-1.7910343057226992,16.106798529040006,-46.66815464109495,1.7,-1.0593849580851435,16.106798529040006,-40.72819265283066,2.2,-3.754457012152455,14.391706916993636,-68.11186430638189
8,2055,2.0,-3.797212354471693,14.710972334926714,-63.14435973826449,2.0,-3.797212354471693,14.710972334926714,-63.14435973826449,1.6,-1.47062835838004,16.88318557768837,-43.4410940499715,1.8,-1.7910343057226992,16.106798529040006,-50.7228874894213,1.6,-1.47062835838004,16.88318557768837,-38.533897671503375,1.9,-2.7438288659860706,15.661293690722607,-54.51867962140897,1.8,-1.7910343057226992,15.661293690722607,-46.66815464109495,2.5,-6.916188308564394,13.32826051661489,-71.10146413265119
9,2060,2.1,-3.8378165442180774,14.312260569439934,-68.11186430638189,2.2,-3.754457012152455,14.312260569439934,-68.11186430638189,1.5,-1.4037136456344481,16.88318557768837,-43.4410940499715,1.8,-1.7910343057226992,16.106798529040006,-54.51867962140897,1.6,-1.47062835838004,16.88318557768837,-40.72819265283066,2.0,-3.797212354471693,14.710972334926714,-59.83952970022307,1.9,-2.7438288659860706,15.661293690722607,-54.51867962140897,2.7,-9.19986697918745,10.65848836238351,-77.18581793194575
10,2065,2.2,-3.754457012152455,14.312260569439934,-68.87934559294294,2.3,-4.189703895900393,14.391706916993636,-68.87934559294294,1.5,-1.4037136456344481,16.88318557768837,-43.4410940499715,1.7,-1.0593849580851435,16.643514734503977,-54.51867962140897,1.6,-1.47062835838004,16.88318557768837,-40.72819265283066,2.1,-3.8378165442180774,14.710972334926714,-63.14435973826449,2.1,-3.8378165442180774,14.710972334926714,-63.14435973826449,3.0,-11.575283368582134,10.037649599220368,-77.18581793194575
11,2070,2.3,-4.189703895900393,14.391706916993636,-71.10146413265119,2.4,-5.139109973630941,14.391706916993636,-73.81578023530655,1.5,-1.4037136456344481,16.88318557768837,-40.72819265283066,1.7,-1.0593849580851435,16.643514734503977,-54.51867962140897,1.6,-1.47062835838004,16.88318557768837,-40.72819265283066,2.2,-3.754457012152455,14.710972334926714,-66.77025511640356,2.2,-3.754457012152455,14.312260569439934,-68.11186430638189,3.2,-8.883751639449718,9.270605662731237,-77.18581793194575
12,2075,2.4,-5.139109973630941,14.391706916993636,-74.99709266731072,2.5,-6.916188308564394,13.32826051661489,-77.18581793194575,1.5,-1.4037136456344481,17.30582472256947,-43.4410940499715,1.7,-1.0593849580851435,16.643514734503977,-54.51867962140897,1.6,-1.47062835838004,16.88318557768837,-40.72819265283066,2.2,-3.754457012152455,14.312260569439934,-68.63403241405696,2.4,-5.139109973630941,13.32826051661489,-71.10146413265119,3.5,-7.232535920520609,5.880527144584852,-77.18581793194575
13,2080,2.5,-6.916188308564394,13.32826051661489,-77.18581793194575,2.6,-8.434325927159152,12.043668903610325,-77.18581793194575,1.5,-1.4037136456344481,17.30582472256947,-43.4410940499715,1.7,-1.0593849580851435,16.88318557768837,-50.7228874894213,1.6,-1.47062835838004,16.88318557768837,-40.72819265283066,2.3,-4.189703895900393,14.312260569439934,-68.87934559294294,2.6,-8.434325927159152,12.043668903610325,-74.99709266731072,3.7,-8.3249191037669,2.933254368479414,-77.18581793194575
14,2085,2.6,-8.434325927159152,13.32826051661489,-77.18581793194575,2.8,-9.19986697918745,12.043668903610325,-77.18581793194575,1.5,-1.4037136456344481,17.30582472256947,-43.4410940499715,1.6,-1.47062835838004,16.88318557768837,-50.7228874894213,1.6,-1.47062835838004,16.88318557768837,-43.4410940499715,2.3,-4.189703895900393,14.312260569439934,-71.10146413265119,2.7,-9.19986697918745,12.043668903610325,-77.18581793194575,4.0,,2.601457315738223,-77.18581793194575
15,2090,2.7,-9.19986697918745,12.043668903610325,-77.18581793194575,2.9,-10.227042503835976,10.65848836238351,-77.18581793194575,1.5,-1.4037136456344481,17.30582472256947,-43.4410940499715,1.6,-1.47062835838004,16.88318557768837,-50.7228874894213,1.6,-1.47062835838004,17.30582472256947,-43.4410940499715,2.4,-5.139109973630941,14.312260569439934,-73.81578023530655,2.9,-10.227042503835976,10.65848836238351,-77.18581793194575,4.3,,0.8220287692292381,-77.18581793194575
16,2095,2.8,-9.19986697918745,12.043668903610325,-77.18581793194575,3.1,-10.63923804516755,10.286087119895937,-77.18581793194575,1.5,-1.4037136456344481,17.30582472256947,-43.4410940499715,1.6,-1.47062835838004,17.30582472256947,-50.7228874894213,1.6,-1.47062835838004,17.30582472256947,-43.4410940499715,2.4,-5.139109973630941,14.312260569439934,-74.99709266731072,3.0,-11.575283368582134,10.286087119895937,-77.18581793194575,4.5,,0.8220287692292381,-77.18581793194575
17,2100,2.9,-10.227042503835976,12.043668903610325,-77.18581793194575,3.2,-8.883751639449718,10.037649599220368,-77.18581793194575,1.5,-1.4037136456344481,17.30582472256947,-46.66815464109495,1.6,-1.47062835838004,17.30582472256947,-50.7228874894213,1.6,-1.47062835838004,17.30582472256947,-43.4410940499715,2.4,-5.139109973630941,14.312260569439934,-77.18581793194575,3.1,-10.63923804516755,10.286087119895937,-77.18581793194575,4.8,,3.2909287262769147,-77.18581793194575
